Event,Fabric,Color,Style_Persona,Micro_Climate,Suitability_Score,Match_Status
Beach Party,Silk,Emerald Green,Bold,Outdoor (Humid),0.37,0
Dinner Gala,Silk,Earth Tone,Bold,Outdoor (Humid),0.67,0
Dinner Gala,Linen,Maroon,Bold,Indoor (AC),0.3,0
Corporate Meeting,Georgette,Black,Minimalist,Outdoor (Humid),0.11,0
Corporate Meeting,Viscose,Emerald Green,Minimalist,Outdoor (Humid),0.37,0
Gym/Workout,Polyester,Maroon,Professional,Outdoor (Humid),0.47,0
Gym/Workout,Linen,Black,Professional,Indoor (AC),0.28,0
Temple Visit,Linen,Emerald Green,Minimalist,Outdoor (Humid),0.83,1
Temple Visit,Polyester,Maroon,Bold,Outdoor (Humid),0.18,0
Pola/Market,Linen,Maroon,Bold,Outdoor (Humid),0.8,1
Corporate Meeting,Cotton,Emerald Green,Professional,Indoor (AC),0.52,0
Dinner Gala,Polyester,Navy Blue,Bold,Outdoor (Humid),0.3,0
Temple Visit,Polyester,Navy Blue,Professional,Outdoor (Humid),0.41,0
Pola/Market,Cotton,Emerald Green,Bold,Indoor (AC),0.19,0
Beach Party,Polyester,Black,Bold,Indoor (AC),0.39,0
Temple Visit,Viscose,Navy Blue,Minimalist,Outdoor (Humid),0.23,0
Dinner Gala,Cotton,Black,Bold,Indoor (AC),0.16,0
Corporate Meeting,Georgette,Emerald Green,Bold,Indoor (AC),0.35,0
Traditional Wedding,Linen,Navy Blue,Professional,Outdoor (Humid),0.65,0
Traditional Wedding,Silk,Black,Professional,Outdoor (Humid),0.7,0
Dinner Gala,Linen,Emerald Green,Professional,Outdoor (Humid),0.63,0
Dinner Gala,Polyester,Black,Professional,Indoor (AC),0.4,0
Gym/Workout,Georgette,Earth Tone,Professional,Indoor (AC),0.13,0
Corporate Meeting,Silk,Emerald Green,Minimalist,Outdoor (Humid),0.15,0
Beach Party,Georgette,White,Bold,Indoor (AC),0.29,0
Dinner Gala,Polyester,Maroon,Professional,Indoor (AC),0.37,0
Temple Visit,Viscose,White,Bold,Indoor (AC),0.36,0
Beach Party,Linen,Earth Tone,Bold,Indoor (AC),0.49,0
Traditional Wedding,Cotton,Maroon,Bold,Indoor (AC),0.15,0
Beach Party,Cotton,Earth Tone,Professional,Outdoor (Humid),0.52,0
Corporate Meeting,Georgette,Earth Tone,Professional,Indoor (AC),0.46,0
Dinner Gala,Viscose,Emerald Green,Minimalist,Indoor (AC),0.17,0
Corporate Meeting,Polyester,Navy Blue,Bold,Outdoor (Humid),0.4,0
Traditional Wedding,Linen,Navy Blue,Minimalist,Outdoor (Humid),0.55,0
Beach Party,Polyester,Emerald Green,Professional,Outdoor (Humid),0.18,0
Dinner Gala,Polyester,Maroon,Bold,Indoor (AC),0.31,0
Pola/Market,Silk,White,Professional,Outdoor (Humid),0.32,0
Traditional Wedding,Linen,Maroon,Minimalist,Outdoor (Humid),0.84,1
Corporate Meeting,Georgette,White,Bold,Outdoor (Humid),0.25,0
Pola/Market,Linen,Navy Blue,Professional,Outdoor (Humid),0.59,0
Temple Visit,Linen,Navy Blue,Professional,Indoor (AC),0.18,0
Pola/Market,Cotton,Black,Bold,Indoor (AC),0.22,0
Dinner Gala,Cotton,Navy Blue,Bold,Outdoor (Humid),0.73,0
Temple Visit,Polyester,Emerald Green,Bold,Indoor (AC),0.19,0
Pola/Market,Georgette,Black,Professional,Indoor (AC),0.15,0
Beach Party,Cotton,Maroon,Minimalist,Outdoor (Humid),0.65,0
Gym/Workout,Cotton,Navy Blue,Bold,Indoor (AC),0.4,0
Corporate Meeting,Linen,Earth Tone,Bold,Indoor (AC),0.19,0
Gym/Workout,Linen,Black,Bold,Outdoor (Humid),0.73,0
Dinner Gala,Silk,Maroon,Minimalist,Outdoor (Humid),0.81,1
Dinner Gala,Georgette,Earth Tone,Professional,Indoor (AC),0.61,0
Pola/Market,Georgette,Maroon,Professional,Outdoor (Humid),0.3,0
Beach Party,Silk,Navy Blue,Professional,Indoor (AC),0.69,0
Temple Visit,Viscose,Emerald Green,Minimalist,Indoor (AC),0.35,0
Dinner Gala,Cotton,Black,Minimalist,Outdoor (Humid),0.5,0
Pola/Market,Linen,Black,Professional,Outdoor (Humid),0.89,1
Corporate Meeting,Polyester,White,Minimalist,Outdoor (Humid),0.36,0
Beach Party,Polyester,Earth Tone,Professional,Indoor (AC),0.22,0
Beach Party,Georgette,White,Minimalist,Outdoor (Humid),0.35,0
Gym/Workout,Linen,Maroon,Minimalist,Indoor (AC),0.45,0
Corporate Meeting,Silk,Navy Blue,Bold,Indoor (AC),0.55,0
Beach Party,Georgette,Black,Bold,Indoor (AC),0.32,0
Traditional Wedding,Polyester,Earth Tone,Minimalist,Outdoor (Humid),0.37,0
Temple Visit,Polyester,Black,Minimalist,Outdoor (Humid),0.27,0
Dinner Gala,Polyester,Emerald Green,Bold,Outdoor (Humid),0.27,0
Pola/Market,Silk,White,Minimalist,Outdoor (Humid),0.44,0
Temple Visit,Cotton,Earth Tone,Minimalist,Indoor (AC),0.15,0
Temple Visit,Linen,Emerald Green,Bold,Indoor (AC),0.35,0
Corporate Meeting,Cotton,Emerald Green,Bold,Outdoor (Humid),0.57,0
Gym/Workout,Cotton,Maroon,Minimalist,Outdoor (Humid),0.86,1
Dinner Gala,Viscose,White,Professional,Outdoor (Humid),0.37,0
Pola/Market,Viscose,Black,Minimalist,Outdoor (Humid),0.39,0
Corporate Meeting,Polyester,Earth Tone,Minimalist,Indoor (AC),0.15,0
Temple Visit,Polyester,Earth Tone,Professional,Indoor (AC),0.47,0
Gym/Workout,Linen,Emerald Green,Professional,Indoor (AC),0.46,0
Dinner Gala,Georgette,Black,Professional,Indoor (AC),0.75,1
Temple Visit,Linen,Black,Bold,Indoor (AC),0.35,0
Temple Visit,Georgette,Maroon,Bold,Indoor (AC),0.37,0
Traditional Wedding,Linen,Earth Tone,Bold,Indoor (AC),0.14,0
Pola/Market,Viscose,Navy Blue,Bold,Outdoor (Humid),0.29,0
Traditional Wedding,Polyester,Earth Tone,Professional,Indoor (AC),0.13,0
Pola/Market,Cotton,Earth Tone,Professional,Indoor (AC),0.33,0
Beach Party,Silk,Maroon,Minimalist,Indoor (AC),0.39,0
